Дата проводки,Счёт (наименование + ИНН),Сумма по дебету (RUB),Сумма по кредиту (RUB),Банк (условный БИК + наименование),Назначение платежа (детали),Риск,Причины_оценки_риска,Примечание
2025-08-14 12:51:54,"ООО ТРАНСЛАЙН, ИНН: 1322002203",,"943,190.16","Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Оплата по договор №200/2025 от 08.07.2025; счет-фактура №1499; ТТН №776; назнач.: оплата поставки; дата/время проводки 14.08.2025 12:51; счет-фактура №1499; ТТН №776,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 13:06:03,"ООО СЕКЬЮРИТИ, ИНН: 4503001303","789,757.01",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №486/2025 от 15.07.2025; счет-фактура №9881; ТТН №822; назнач.: оплата поставки; дата/время проводки 14.08.2025 13:06; счет-фактура №9881; ТТН №822,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 13:30:27,"ИП КОРОЛЁВ А.М., ИНН: 2332003203",,"98,347.81","Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №639/2025 от 13.07.2025; счет-фактура №4033; ТТН №183; назнач.: оплата поставки; дата/время проводки 14.08.2025 13:30; счет-фактура №4033; ТТН №183,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 13:56:00,"ИП ВАСИЛЬЕВА Н.К., ИНН: 1524002405","132,074.55",,"Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №161/2025 от 07.06.2025; счет-фактура №7476; ТТН №850; назнач.: оплата поставки; дата/время проводки 14.08.2025 13:56; счет-фактура №7476; ТТН №850,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 14:05:27,"ООО ЭКСПОРТПРО, ИНН: 5907008007","844,987.41",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №227/2025 от 21.07.2025; счет-фактура №3336; ТТН №448; назнач.: оплата поставки; дата/время проводки 14.08.2025 14:05; сопроводительные документы отсутствуют,Средний,amount_over_med,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 15:03:24,"ООО МАЛЫЙ БИЗНЕС, ИНН: 2433003304","252,851.22",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №291/2025 от 17.06.2025; счет-фактура №9044; ТТН №293; назнач.: оплата поставки; дата/время проводки 14.08.2025 15:03; счет-фактура №9044; ТТН №293,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 15:10:52,"ООО АЛЬФАМЕД, ИНН: 7803004003",,"378,741.02","Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №683/2025 от 06.06.2025; счет-фактура №1573; ТТН №764; назнач.: оплата поставки; дата/время проводки 14.08.2025 15:10; счет-фактура №1573; ТТН №764,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 15:26:06,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809",,"371,725.88","Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №816/2025 от 12.08.2025; счет-фактура №3045; ТТН №552; назнач.: оплата поставки; дата/время проводки 14.08.2025 15:26; счет-фактура №3045; ТТН №552,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 15:33:57,"ООО МАЛЫЙ БИЗНЕС, ИНН: 2433003304","23,111.32",,"Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №815/2025 от 21.07.2025; счет-фактура №2399; ТТН №641; назнач.: оплата поставки; дата/время проводки 14.08.2025 15:33; счет-фактура №2399; ТТН №641,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 15:51:53,"ООО СЕРВИСПРО, ИНН: 1423002304","1,768,294.68",,"Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №812/2025 от 10.08.2025; счет-фактура №2316; ТТН №380; назнач.: оплата поставки; дата/время проводки 14.08.2025 15:51; счет-фактура №2316; ТТН №380,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 15:58:18,"ООО ТРАНСЛАЙН, ИНН: 1322002203",,"232,379.04","Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №282/2025 от 09.06.2025; счет-фактура №3236; ТТН №695; назнач.: оплата поставки; дата/время проводки 14.08.2025 15:58; счет-фактура №3236; ТТН №695,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 16:21:56,"ООО СЕКЬЮРИТИ, ИНН: 4503001303","1,171,536.40",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №574/2025 от 02.08.2025; счет-фактура №1828; ТТН №160; назнач.: оплата поставки; дата/время проводки 14.08.2025 16:21; счет-фактура №1828; ТТН №160,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 16:35:28,"ООО ТЕХНОКОМФОРТ, ИНН: 7701001001","118,233.73",,"Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Аванс по договор №567/2025 от 28.08.2025; счет-фактура №8333; назнач.: аванс; дата/время 14.08.2025 16:35; счет-фактура №8333; ТТН №945,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 16:59:55,"ООО ЛАБСЕРВИС, ИНН: 7808009008",,"199,881.09","Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №570/2025 от 28.08.2025; счет-фактура №3300; ТТН №120; назнач.: оплата поставки; дата/время проводки 14.08.2025 16:59; счет-фактура №3300; ТТН №120,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 17:20:04,"ИП НИКОЛАЕВА С.А., ИНН: 3402001202",,"177,430.06","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №525/2025 от 07.06.2025; счет-фактура №6596; ТТН №840; назнач.: оплата поставки; дата/время проводки 14.08.2025 17:20; счет-фактура №6596; ТТН №840,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 17:33:36,"ИП ЛЕВИН Д.Б., ИНН: 8907001707",,"72,747.74","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)","Перечисление заработной платы, период: 08.2025; ведомость №21; дата 14.08.2025 17:33",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 18:18:01,"ООО КРИПТОТРЕЙД, ИНН: 1209001010","2,867,366.26",,"Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Перечисление контрагенту ООО КРИПТОТРЕЙД; назнач.: оплата услуг; документы: не указаны; дата 14.08.2025 18:18,Высокий,very_large_amount,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 18:59:51,"ООО ТЕХНОКОМФОРТ, ИНН: 7701001001",,"57,772.79","Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Аванс по договор №800/2025 от 13.08.2025; счет-фактура №3744; назнач.: аванс; дата/время 14.08.2025 18:59; счет-фактура №3744; ТТН №722,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 19:54:02,"ООО ЛОГИСТИК ГРУПП, ИНН: 5604001404",,"205,041.00","Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №760/2025 от 16.06.2025; счет-фактура №1194; ТТН №475; назнач.: оплата поставки; дата/время проводки 14.08.2025 19:54; счет-фактура №1194; ТТН №475,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 20:16:10,"ООО НОВЫЙ МАРКЕТ, ИНН: 1625002506","541,414.26",,"Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Оплата по договор №925/2025 от 22.06.2025; счет-фактура №3794; ТТН №846; назнач.: оплата поставки; дата/время проводки 14.08.2025 20:16; счет-фактура №3794; ТТН №846,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 20:20:44,"ООО СТРАНАIT, ИНН: 2231003102","112,102.40",,"Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Аванс по договор №317/2025 от 28.06.2025; счет-фактура №7623; назнач.: аванс; дата/время 14.08.2025 20:20; счет-фактура №7623; ТТН №856,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-14 20:25:43,"ООО СТРАНАIT, ИНН: 2231003102","701,497.27",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №973/2025 от 05.08.2025; счет-фактура №6088; ТТН №104; назнач.: оплата поставки; дата/время проводки 14.08.2025 20:25; счет-фактура №6088; ТТН №104,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 08:06:08,"ООО НЕОТЕК, ИНН: 1120002001","62,111.93",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №346/2025 от 14.06.2025; счет-фактура №9414; ТТН №146; назнач.: оплата поставки; дата/время проводки 15.08.2025 08:06; сопроводительные документы отсутствуют,Средний,no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 08:17:04,"ИП ПЕТРОВ И.А., ИНН: 5002003002","79,514.04",,"Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)","Перечисление заработной платы, период: 08.2025; ведомость №35; дата 15.08.2025 08:17",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 09:06:18,"ИП КОРОЛЁВ А.М., ИНН: 2332003203",,"34,860.85","Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №690/2025 от 08.07.2025; счет-фактура №6870; ТТН №938; назнач.: оплата поставки; дата/время проводки 15.08.2025 09:06; счет-фактура №6870; ТТН №938,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 10:07:09,"ООО ЛОГИСТИК ГРУПП, ИНН: 5604001404",,"412,686.75","Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Оплата по договор №605/2025 от 15.07.2025; счет-фактура №4600; ТТН №174; назнач.: оплата поставки; дата/время проводки 15.08.2025 10:07; счет-фактура №4600; ТТН №174,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 10:21:27,"ООО ЭКСПОРТПРО, ИНН: 5907008007","590,316.80",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №988/2025 от 28.06.2025; счет-фактура №8595; ТТН №627; назнач.: оплата поставки; дата/время проводки 15.08.2025 10:21; счет-фактура №8595; ТТН №627,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 12:53:29,"ООО СБОРКА, ИНН: 7806001606",,"194,527.53","Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №817/2025 от 27.08.2025; счет-фактура №4818; ТТН №198; назнач.: оплата поставки; дата/время проводки 15.08.2025 12:53; счет-фактура №4818; ТТН №198,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 13:03:23,"ООО ЛАБСЕРВИС, ИНН: 7808009008","131,020.93",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №454/2025 от 03.07.2025; счет-фактура №7693; ТТН №135; назнач.: оплата поставки; дата/время проводки 15.08.2025 13:03; счет-фактура №7693; ТТН №135,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 13:29:36,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809","388,961.48",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №124/2025 от 22.07.2025; счет-фактура №9366; ТТН №901; назнач.: оплата поставки; дата/время проводки 15.08.2025 13:29; сопроводительные документы отсутствуют,Средний,no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 13:34:21,"ИП СИДОРОВ В.П., ИНН: 6606007006","13,117.10",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №497/2025 от 26.06.2025; счет-фактура №1191; ТТН №890; назнач.: оплата поставки; дата/время проводки 15.08.2025 13:34; сопроводительные документы отсутствуют,Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 13:41:44,"ООО СТРОЙПРОЕКТ, ИНН: 5404005004","179,997.53",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №461/2025 от 04.06.2025; счет-фактура №6440; ТТН №485; назнач.: оплата поставки; дата/время проводки 15.08.2025 13:41; счет-фактура №6440; ТТН №485,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 13:50:33,"ООО СТРОЙПРОЕКТ, ИНН: 5404005004",,"206,096.18","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №760/2025 от 09.08.2025; счет-фактура №3692; ТТН №958; назнач.: оплата поставки; дата/время проводки 15.08.2025 13:50; счет-фактура №3692; ТТН №958,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 13:59:02,"ИП КОРОЛЁВ А.М., ИНН: 2332003203",,"2,965.87","Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №302/2025 от 08.06.2025; счет-фактура №8852; ТТН №741; назнач.: оплата поставки; дата/время проводки 15.08.2025 13:59; сопроводительные документы отсутствуют,Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 14:13:46,"ООО БЛЭКХОЛД, ИНН: 2029002900",,"237,572.22","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №385/2025 от 17.06.2025; счет-фактура №7453; ТТН №857; назнач.: оплата поставки; дата/время проводки 15.08.2025 14:13; счет-фактура №7453; ТТН №857,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 14:46:05,"ООО НОВЫЙ МАРКЕТ, ИНН: 1625002506","187,624.33",,"Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Оплата по договор №375/2025 от 26.08.2025; счет-фактура №9963; ТТН №851; назнач.: оплата поставки; дата/время проводки 15.08.2025 14:46; счет-фактура №9963; ТТН №851,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 14:52:11,"ООО КОНСАЛТИНГ ПРО, ИНН: 1827002708",,"129,519.56","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №672/2025 от 22.07.2025; счет-фактура №8739; ТТН №431; назнач.: оплата поставки; дата/время проводки 15.08.2025 14:52; счет-фактура №8739; ТТН №431,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 15:05:33,"ООО МАРКЕТПЛЮС, ИНН: 4405006005",,"612,443.02","Промсвязьбанк, г. Москва (БИК: 044525000)",Аванс по договор №670/2025 от 26.06.2025; счет-фактура №7240; назнач.: аванс; дата/время 15.08.2025 15:05; счет-фактура №7240; ТТН №237,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 15:06:54,"ИП НИКОЛАЕВА С.А., ИНН: 3402001202","139,625.48",,"Промсвязьбанк, г. Москва (БИК: 044525000)","Перечисление заработной платы, период: 08.2025; ведомость №74; дата 15.08.2025 15:06",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 15:21:00,"ООО СТРОЙПРОЕКТ, ИНН: 5404005004","176,676.01",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №377/2025 от 15.08.2025; счет-фактура №9674; ТТН №974; назнач.: оплата поставки; дата/время проводки 15.08.2025 15:21; счет-фактура №9674; ТТН №974,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 15:23:03,"ИП ПЕТРОВ И.А., ИНН: 5002003002","30,076.15",,"Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)","Перечисление заработной платы, период: 08.2025; ведомость №48; дата 15.08.2025 15:23",Без риска,utilities_or_salary_small,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 15:27:25,"ООО МАРКЕТПЛЮС, ИНН: 4405006005","662,961.88",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №712/2025 от 19.08.2025; счет-фактура №2275; ТТН №458; назнач.: оплата поставки; дата/время проводки 15.08.2025 15:27; счет-фактура №2275; ТТН №458,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 15:42:27,"ООО БИЗНЕСХАУС, ИНН: 1019001909","68,042.97",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата коммунальных услуг и интернет; период: 08.2025; дата/время 15.08.2025 15:42,Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 15:46:51,"ООО ПРОВАЙДЕР, ИНН: 2635003506",,"86,503.88","Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата коммунальных услуг и интернет; период: 08.2025; дата/время 15.08.2025 15:46,Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 16:26:13,"ИП НИКОЛАЕВА С.А., ИНН: 3402001202",,"52,268.41","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №911/2025 от 26.08.2025; счет-фактура №4149; ТТН №196; назнач.: оплата поставки; дата/время проводки 15.08.2025 16:26; счет-фактура №4149; ТТН №196,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 17:15:37,"ООО СЕКЬЮРИТИ, ИНН: 4503001303",,"138,353.49","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №671/2025 от 23.08.2025; счет-фактура №8540; ТТН №299; назнач.: оплата поставки; дата/время проводки 15.08.2025 17:15; счет-фактура №8540; ТТН №299,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 17:50:09,"ИП СИДОРОВ В.П., ИНН: 6606007006","51,751.88",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №956/2025 от 22.07.2025; счет-фактура №5542; ТТН №237; назнач.: оплата поставки; дата/время проводки 15.08.2025 17:50; счет-фактура №5542; ТТН №237,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 18:20:58,"ООО ТЕХНОКОМФОРТ, ИНН: 7701001001",,"2,778,716.73","Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №668/2025 от 11.08.2025; счет-фактура №8948; ТТН №379; назнач.: оплата поставки; дата/время проводки 15.08.2025 18:20; счет-фактура №8948; ТТН №379,Высокий,very_large_amount,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 18:27:10,"ООО СЕРВИСПРО, ИНН: 1423002304","59,985.84",,"Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №714/2025 от 22.06.2025; счет-фактура №6064; ТТН №907; назнач.: оплата поставки; дата/время проводки 15.08.2025 18:27; счет-фактура №6064; ТТН №907,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 18:31:42,"ИП ЛЕВИН Д.Б., ИНН: 8907001707","160,773.12",,"Альфа-Банк, г. Москва (БИК: 044030653)","Перечисление заработной платы, период: 08.2025; ведомость №40; дата 15.08.2025 18:31",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 18:46:27,"ООО СБОРКА, ИНН: 7806001606",,"161,052.14","Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №612/2025 от 16.06.2025; счет-фактура №1384; ТТН №732; назнач.: оплата поставки; дата/время проводки 15.08.2025 18:46; счет-фактура №1384; ТТН №732,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 20:14:06,"ИП ВАСИЛЬЕВА Н.К., ИНН: 1524002405","33,173.35",,"Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №193/2025 от 16.07.2025; счет-фактура №9297; ТТН №383; назнач.: оплата поставки; дата/время проводки 15.08.2025 20:14; счет-фактура №9297; ТТН №383,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 20:16:46,"ИП КОРОЛЁВ А.М., ИНН: 2332003203","27,377.59",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №775/2025 от 13.07.2025; счет-фактура №8950; ТТН №674; назнач.: оплата поставки; дата/время проводки 15.08.2025 20:16; счет-фактура №8950; ТТН №674,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 20:19:10,"ООО СТРОЙПРОЕКТ, ИНН: 5404005004",,"1,041,569.54","Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №994/2025 от 25.08.2025; счет-фактура №3853; ТТН №861; назнач.: оплата поставки; дата/время проводки 15.08.2025 20:19; счет-фактура №3853; ТТН №861,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-15 20:58:35,"ООО СБОРКА, ИНН: 7806001606","95,260.59",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №650/2025 от 09.08.2025; счет-фактура №8070; ТТН №650; назнач.: оплата поставки; дата/время проводки 15.08.2025 20:58; счет-фактура №8070; ТТН №650,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-16 08:21:56,"ООО ИНЖИНЕРОВАНИЕ, ИНН: 1221002102","64,769.50",,"Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №322/2025 от 26.08.2025; счет-фактура №8205; ТТН №899; назнач.: оплата поставки; дата/время проводки 16.08.2025 08:21; счет-фактура №8205; ТТН №899,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-16 08:35:51,"ООО КОНСАЛТИНГ ПРО, ИНН: 1827002708","143,908.73",,"Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №260/2025 от 07.08.2025; счет-фактура №7386; ТТН №497; назнач.: оплата поставки; дата/время проводки 16.08.2025 08:35; счет-фактура №7386; ТТН №497,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-16 09:11:28,"ООО ФИНАНС СОЛЮШН, ИНН: 9008001808","57,585.81",,"Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Поступление/возврат по договору займа №Z-53; срок 14 мес.; дата 16.08.2025 09:11,Средний,loan_mention;no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-16 09:23:09,"ИП ПЕТРОВ И.А., ИНН: 5002003002",,"16,405.72","Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Оплата по договор №374/2025 от 10.06.2025; счет-фактура №2121; ТТН №926; назнач.: оплата поставки; дата/время проводки 16.08.2025 09:23; счет-фактура №2121; ТТН №926,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-16 10:06:34,"ООО ЛАБСЕРВИС, ИНН: 7808009008",,"366,193.26","Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Оплата по договор №915/2025 от 05.06.2025; счет-фактура №9838; ТТН №513; назнач.: оплата поставки; дата/время проводки 16.08.2025 10:06; счет-фактура №9838; ТТН №513,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-16 10:24:27,"ООО ФИНАНС СОЛЮШН, ИНН: 9008001808",,"272,222.48","Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №211/2025 от 05.06.2025; счет-фактура №1230; ТТН №978; назнач.: оплата поставки; дата/время проводки 16.08.2025 10:24; счет-фактура №1230; ТТН №978,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-16 10:49:12,"ООО БЛЭКХОЛД, ИНН: 2029002900",,"123,418.96","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №851/2025 от 07.06.2025; счет-фактура №7779; ТТН №167; назнач.: оплата поставки; дата/время проводки 16.08.2025 10:49; счет-фактура №7779; ТТН №167,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-16 10:53:03,"ООО ВНУТРЕННИЕ ОПЕРАЦИИ, ИНН: 2130003001","770,395.60",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Внутренний перевод между счетами организации; назнач.: внутр. перераспределение; дата 16.08.2025 10:53,Без риска,internal_transfer,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-16 11:06:30,"ООО НОВЫЙ МАРКЕТ, ИНН: 1625002506","668,983.10",,"Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Оплата по договор №536/2025 от 20.06.2025; счет-фактура №3193; ТТН №539; назнач.: оплата поставки; дата/время проводки 16.08.2025 11:06; счет-фактура №3193; ТТН №539,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
